
'SRNPBN2PIO37', 'C',
'M0K99JN6CCGC', '0',
'PXS7VZZLHO9K', 'D',
'FI4O6XV16NL7', '0',
'722RRQTN9TRH', 'D',
'JEODGYCAH3MX', '0',
'L6RV8EBZCE0I', '0',
'9BHRBZ212W7C', 'D',
'22L6XZ9LOFYN', 'D',
'BSXSGVJAX8UR', '0',
'3CT37DY3NBJ5', 'D',
'ZYW9JQ4USKPP', '0',
'9Y0UQ70S4FWR', 'D',
'EVUP47X3J1YH', 'C',
'WWMX7SXXGKID', '0',
'MTYTEIHTJQ6H', 'D',
'6SZJRHEQ89PJ', '0',
'WO2PLEHKDX8Z', 'D',
'SCAQAIW8XLK8', '0',
'9QOH3BQJCAES', '0',
'U6E0PUME3MP1', 'D',
'QYWSJRVKY9EW', '0',
'I90PGFAEC8TF', '0',
'BUU4GMIQ7L05', 'D',
'P1MWSIW9S14R', '0',
'L9KFGQJZLE6E', 'C',
'VG2C6KJME3DH', '0',
'X5IO6RJWYNFF', '0',
'Z2XHH28J28V1', '0',
'OZ9LREW16WH3', '0',
'G7078FK7Z6J1', '0',
'HF9649BD50HI', '0',
'PA3EUPSY8MXM', 'D',
'5OVUB4E3E4FQ', '0',
'Q29NPE8Z9TU7', 'D',
'ZVYDQ3UPQFI4', '0',
'E4GIJIKP34HC', 'D',
'DQODJGJC838W', '0',
'D2RF96KU6LJZ', 'D',
'QHWHXJISO6Y7', 'D',
'ECKI4CBDNM0S', '0',
'OASZG87X9NVE', '0',
'AQANTUBZT9YA', '0',
'8KH9MX9QS6RZ', 'D',
'O9Q95GA34NFS', '0',
'AGTTXCE7M9NH', '0',
'GO7CZJUR63CI', '0',
'HPHNPGET5VE2', 'D',
'9GPOFAY1NJS0', 'D',
'H689TKGTRCQ3', 'D',
'AGZDUDK6SARM', 'D',
'A9N424KEN3EP', '0',
'LCTJLUXEA1SN', '0',
'19CRD07IYD8Q', 'C',
'R55VYH65EHWW', 'D',
'67GKK9S5S2IH', '0',
'78PA2XYLNTFF', '0',
'WBHXSV449A11', 'D',
'YGED462X894U', '0',
'7M4MWOLIVQRQ', '0',
'1GUS8Y3Y23A3', '0',
'3Z7UA2GBSFE2', 'D',
'UBXVHOEKSTM5', '0',
'H81PBOEECYJ4', 'D',
'VWQNLUUZ2TUV', '0',
'VNCVW03942FT', '0',
'0J2GBNBVWN40', 'D',
'1QFAS0SDJWG4', '0',
'NLSVDEQR8HJK', '0',
'FC3QF6IFRV1G', 'D',
'0941KQWSKYL0', '0',
'L9BRMA9O36KD', 'D',
'E5BGV3MQTICC', 'D',
'WAR0XQREVRKS', 'D',
'IZXJ5VBMOV4F', 'D',
'KNNGA72T0IBO', '0',
'A0JEBUBPHPYB', '0',
'927HCANRXSAM', '0',
'DQLZ8LM41IFW', '0',
'R7H91B47VZC6', '0',
'US3N07Q1NVCU', '0',
'L5QJ9ZLNLDM2', '0',
'US7UB153IPG3', '0',
'DPX6BIEKK58W', '0',
'6VKA8HZE2PQ1', 'D',
'2HK1UWT002F9', 'D',
'Z6N8S3TCAOBE', 'D',
'IED7UZ7WOCFP', '0',
'LKSJ0W9R7ME0', 'D',
'KMF9KREU2KV4', '0',
'PUX3F8I1HTAZ', '0',
'3VQTOK89JK6T', 'D',
'SRXHLKAW5DWS', '0',
'LCJL1UHBUP9A', 'D',
'RN6GAICA880O', 'D',
'6DESTLPFA8KK', '0',
'3B8UBA9EFDSM', 'D',
'RN0DK6W6ZYRC', '0',
'OIN2LD599GV1', 'D',
'03L13IVED8FY', '0',
'3ENFER6GPOR2', '0',
'HFD8TDRTARQK', 'D',
'29LSV17BE7EH', '0',
'YFSUFIBR7JNI', 'D',
'FMG863UUHP9U', '0',
'24IWJEBMTS3X', 'D',
'JOF1Y1KJNG6J', 'D',
'3CRACWCIYFN6', 'B',
'P8OPPHNKOGNM', 'D',
'O142SGDFHHHK', '0',
'U73WI8SRC02H', '0',
'I4H7X1WAMBYY', 'D',
'FEFRWP5IGU5F', '0',
'P6MOJ46P4L58', '0',
'1M40LCW375P8', 'D',
'ENGP62TF5ONQ', '0',
'VZ77OFW2Q3OT', 'D',
'5UMMO8ISIJV0', '0',
'AL6Z3IG1WY2X', '0',
'KM6PGWIR02SB', '0',
'M6J3HXXDLF5P', 'D',
'UFZ4AEBABLUJ', '0',
'SSEK068I5GLA', 'B',
'NQHC49M74YXV', '0',
'45ZJ0NXOYCG8', '0',
'G52D48UIQ049', '0',
'GKNZQQ118H56', '0',
'O96PVWH9PSON', 'D',
'I2ZF32AYYXTV', 'C',
'RKDPSYZ83OLJ', '0',
'694QE86NX2TN', 'D',
'9Z1GTSOHUKGM', 'D',
'AGMJ45XNMQ1T', '0',
'3GEDWQM5GNN1', 'D',
'NMIMQ1EFF74G', 'D',
'7QTULDPZIFNK', 'D',
'E51HYOQY4CFB', '0',
'9F9YK9N1007C', '0',
'DUFGP8ZP4O7X', 'D',
'5XZ6VBADZDC6', 'D',
'UL79KPKLANSB', 'D',
'HTJ728VBYGC9', '0',
'0L7VRQ1GYYO6', '0',
'JTHSZTDBIC6N', '0',
'H5AUWGI20PY9', 'C',
'FKX9F9I24NN3', '0',
'YAZS9AS0XLC5', '0',
'RD2PR9NUGKTL', '0',
'BIAYC4RPFBZL', '0',
'CRVXPOPGC1DN', 'D',
'7A62J0AC3CJU', 'D',
'N2IMWTEN1DLX', 'D',
'Y7C8EIICDCJ0', '0',
'B7NXZQ9OMAJW', '0',
'KFDGXYI7ZAVW', '0',
'N2Y2FQCW7ID1', 'D',
'YSEUSNKZC6VX', 'D',
'OXXV8KPHBRNY', 'D',
'6EG91A2K1MXF', 'D',
'GEW1MK1SFQC7', '0',
'WTHMWNNUTVRV', 'D',
'CVTVSCWO4FOA', 'D',
'XVWL67UBRREO', 'D',
'7J0HQBSWPWDM', 'D',
'BIQZWN5LD6YN', 'D',
'TQZMO4IY7ZCA', 'D',
'2MHHOUPLXNAI', '0',
'LK3TCMVEJTN5', 'D',
'RRWSH45GIAYY', 'D',
'B3XORSGXFZ5K', 'D',
'URQWO31DAWAV', '0',
'BFA2BS3FTXGC', 'D',
'7YTAF201OJBL', '0',
'16DA5ZFSPKYB', 'D',
'T27MA4XRKNBO', '0',
'MEM7WFC561JC', 'D',
'YZ16NRO8PE0S', '0',
'2UQ3MB5G3MCE', 'D',
'5UP0SZVN17DX', '0',
'GMUKTNSS2UTO', '0',
'3NPC54TTG2X3', '0',
'ZLFOY53A1HTO', 'D',
'52JY4RF78YP4', '0',
'A3WQRZ0NTJDG', '0',
'45X3MBKE89D5', 'D',
'GAEK2VM5W8ZP', 'D',
'68Q32GOF7XJC', '0',
'B85F53MI5V8B', 'D',
'JQBTBGZO6IUA', 'D',
'ULPUT5JFNE57', 'C',
'2VAV0X8477YA', '0',
'6OW3T7XH5ZOX', 'D',
'QQG5KPGYPRWK', '0',
'HX1BKTLOCVGK', 'D',
'9IHNLCIRZ336', 'D',
'L0W5IOIGVRLW', '0',
'EPCFE8MELMZV', '0',
'TG5UV79443XI', 'D',
'HD4N2HUUIJ1B', '0',
'U79QQ64IUD7C', 'D',
'MDXZM2NX3F06', '0',
'8KSA0B9THHEG', 'D',
'85C2UVMC4RL8', '0',
'PXWB12D6KS2V', 'D',
'K6XTX4BWWWJJ', '0',
'LLHX260F617Z', '0',
'OS6O6S0YIVSA', '0',
'AULMAQZ8LP6X', '0',
'EC8TGSSEN1J0', '0',
'8NS7T6EUDUV4', 'D',
'9D6C5VPL5YPD', 'D',
'3W8ZRG8PKUC0', 'D',
'K4SIWGVGHQCT', '0',
'PFSI3JBLX8O7', '0',
'Y35I5WV913UH', 'D',
'SSICQZ051J67', 'D',
'QC95O4L5DUQK', 'D',
'GVDZWXWR5H0T', 'D',
'VV3L63GRRYDF', '0',
'7UVYB4DCL8CC', '0',
'2HUFMEZAXQP2', 'D',
'0XVX0F9VOXAB', '0',
'W0E9IGVHP8EV', '0',
'CN79FKGR8B16', '0',
'PDWMI3PMN4L2', '0',
'B2MYXND03DXN', '0',
'OBP1XOUZEX48', '0',
'6R0LU19R3WUC', 'D',
'MNCIMLMLDFAK', '0',
'BMX08D91GZGH', '0',
'M6OKBHGWOWWQ', '0',
'E12V2JFNMCOT', '0',
'GYS9W9OZ0O96', 'D',
'P1XR53PARLCO', '0',
'TTJRQSDKVYXE', '0',
'M3D59388K51F', '0',
'M5HCC0XPKHSZ', '0',
'IG9HIT7GGA7B', '0',
'QN1J5Q2DMNUD', '0',
'XL7F0VMKC2XC', '0',
'XH1VLBPB5GP3', '0',
'U5NNV6PFQMR9', 'D',
'Y676BWWU7FZP', '0',
'K03SPU1YQ4GR', '0',
'AQVUB2M2L981', 'D',
'LQWCRKGK2W4K', 'D',
'TO6F3ZZ40581', '0',
'S3KBFFB9IOR2', 'D',
'IUF1AVSTBSNT', 'D',
'4MDAWULQ87SM', 'D',
'55CVNAB3Y2SK', 'D',
'QAPIY8QNXJJF', 'D',
'YMO767A9PC3U', '0',
'JQW8ENLO8X38', 'D',
'OSGMF3PGJ6K0', '0',
'ICADZETDCVUT', 'C',
'O4AQHKFWU4L8', '0',
'XHFVZATWK5YN', 'D',
'AKT1FSBTFA6A', '0',
'I8YUKSA8DDT1', '0',
'B5CYVDWSXRT5', '0',
'2WZNBTCU0CWS', '0',
'H2750U5AEYB0', 'D',
'SKOHZ40PP9GV', '0',
'1A2E2R5WRTAF', '0',
'C9J6CWHBK174', '0',
'R8SZBVRKKL90', '0',
'JKBNP2WQ2V3P', '0',
'9LK8B3BOFIA0', '0',
'NMWXCUG0GJAS', '0',
'IDOBSNTQLUGW', '0',
'II1LQ7LISP1B', '0',
'J35TMAKHUYBU', 'D',
'A3OITQ1Z6GDY', 'D',
'X6BPGO8BCLNI', '0',
'K7PW2JF094F8', '0',
'TBJV9N8EGT9W', 'D',
'4H3SXLI26WBE', 'B',
'QR6KN5JBRRX7', '0',
'JO7VG8BHQX2F', 'D',
'CLF5OORHWH1N', '0',
'RAP9K5JF3RCP', '0',
'G2U2B3H2HTFH', '0',
'1XUAM1IG6Y5Z', '0',
'4V8OMAPF0MN1', '0',
'A5YM1EMPMSJ2', 'C',
'UTMUDZ86F552', 'D',
'24DPR5GBPEYG', '0',
'SWI3H4Q0E9X8', '0',
'F3PL6W2FBG1N', '0',
'P9QOW3M5PXBM', 'D',
'GYGSQZTUK36C', '0',
'RZOQLX3TIDO6', '0',
'NEXO87CG3YTT', 'D',
'HQ0E6QD94MP6', '0',
'JJYKCI3Y4ZI3', '0',
'8AS7TDDYXQJM', '0',
'44HYDGAH12ZR', '0',
'869GTCJBRL8X', '0',
'351OM6GKYYKV', 'D',
'MIB4IPWBLY4W', 'D',
'W6T2MRRZSM8X', '0',
'VMNCVAEDGEYO', '0',
'02U0ARUF8Y02', '0',
'RR8LSNQKYTJD', 'D',
'DAGVARG742C9', '0',
'B5NQDPRW7D8J', '0',
'YRHENOE9KDR4', '0',
'5L2O4CMI390N', '0',
'UK1UJJ6L9O0Q', '0',
'ENTMQRUT7H42', 'D',
'DWSBXOLG0OQS', 'D',
'X7R1L0TFE710', '0',
'MTBMOHYX3RKD', 'D',
'J5KXADFBV5NX', 'D',
'I77CVD26DSLQ', '0',
'065O35CLC4RB', '0',
'BXYFZF90YYKN', '0',
'BG2JM2S6JWSL', 'D',
'W3CYPXMHAJA6', 'D',
'AX4OR88EJNHR', '0',
'UULIACRYNWZD', '0',
'FGOG4OEIVJDN', '0',
'TUN34CHXIH54', '0',
'X5B8F6SJ5B5P', '0',
'YB47E88QOFDX', 'D',
'NZ8ZZD6H93HN', 'D',
'8C8D7WNZPNEZ', 'D',
'SR5Q4V1LRS5S', '0',
'8VM2FL96I4NQ', '0',
'NPL60ABV477T', '0',
'JBP8QDYG5GGF', 'D',
'TE97EVXZNHT6', '0',
'95TAL0AN96R9', '0',
'6JKUBAXZV611', 'D',
'72KOLPTC6CGF', '0',
'P3VNT0LHAHI8', 'D',
'WKS8PWBSEHTU', 'B',
'HI48991IOMVH', '0',
'Q2RZBHFEMXJL', 'D',
'O3L33JALTKSV', '0',
'JOMY5J5DEHAU', '0',
'44G7RJ5WF1UF', '0',
'SUZPIWDPS6K4', '0',
'LAWC86MA1U9P', 'D',
'79PTXWAON1MS', '0',
'U2J4EG6Q7B0I', '0',
'WLDVTWR60SOQ', '0',
'PRHSVVJ8924H', 'C',
'DA17CZD60MCD', 'D',
'T9UBDFW8SAN8', '0',
'47OTNFPAEJBS', 'D',
'71UZ2EP80KAY', '0',
'U1BGMWOEEL01', '0',
'KQ75GVCLV4UY', '0',
'XH0H8SYDQQYR', 'D',
'1NVVRICOFOKW', 'D',
'FBNXXPV71F9L', 'D',
'S566QEQDD2JZ', 'D',
'NPTSTOXR08IV', 'D',
'15ZQ0RK34ZM7', '0',
'GPCZP7JTEGDZ', 'D',
'U8DWRO9Z7M38', 'D',
'BCSKCATO6B6M', 'D',
'6QSKSOPKGR2R', 'D',
'OS3S2WTS0A4X', '0',
'1RZ35BMAQ6HC', 'D',
'GO0T1S9UIFWF', '0',
'DU7NUJX48GM0', '0',
'G8TJXZAIIOE1', '0',
'MSKEPJKGYK14', 'D',
'5EWWN1D7CVEM', '0',
'XPQELJEVPH4M', '0',
'OK1XIJFL72RY', '0',
'BY9OMZHLG3SE', '0',
'3VLIR669EOHX', 'D',
'MRSM6O9F5HME', 'D',
'EO3W2NIAYV2O', 'D',
'5LGIJKIKFNWP', '0',
'0WYTQW66PBLS', '0',
'JAWXFB8OY8DR', '0',
'TWQ3EKYDG3EW', '0',
'57BYO0SW8668', '0',
'T6G7ND2FXJSQ', '0',
'1FZ9RR8NXF6Y', '0',
'52F482WX2GFI', '0',
'KO3CMXU66WGY', '0',
'2FFUEZT18X9P', 'D',
'GO4OAWFZBERT', 'D',
'VIDAGQGGPCHK', 'D',
'6YE991CQXT39', 'D',
'OY7VF8QB2AU0', 'D',
'GMRQLRZQG3Q7', 'D',
'ZDFK4E6WAOIU', '0',
'9V6K9RTA4SLD', '0',
'US7VYGBPGSCW', '0',
'WTL51U1MVZ88', '0',
'YI6O3YNSSISA', 'D',
'QDYKVDLUC1FB', '0',
'RUUQSSFRQQGM', 'C',
'OCNKVALWPD79', '0',
'6N8F8UTPTJFE', '0',
'U3838MBIA7GB', '0',
'9KCZXTZQCNC1', '0',
'4SG24GDMG0ZY', '0',
'CCWQ75A46ZWF', 'D',
'2KZAVE0SB3NS', '0',
'PAM7Y3CH1KGR', 'D',
'STKBYKQM6J0G', '0',
'KG9CMX1AO52F', '0',
'6ZQ9PTFJQVLH', '0',
'5AFJMQR4MXB6', '0',
'TYVKDPVKGD60', 'C',
'1TAR8TLRFVOU', '0',
'KIRF6ASX1VLY', '0',
'ZM326ISJBPH3', '0',
'0AZGTA9MWODJ', '0',
'E5FVKZG8LJGE', 'D',
'S0MEG15OMEHP', 'D',
'M7CIO7PH9OSK', '0',
'OU4CTF4545I7', '0',
'2NGSIWP0PUUM', '0',
'P0D18N9GEOLY', '0',
'E6E9SOFQKCIH', 'D',
'FRM2RXO0YKE9', '0',
'JEIKAQSA4BYQ', 'B',
'658B7ZQZQL1W', '0',
'MV0LPABV5L7G', '0',
'CGLZT6B9FKM3', '0',
'JP4C4H5Y0IIQ', '0',
'5SPHQ32A9B4F', '0',
'980NFBUU8883', 'D',
'M3QBTS4MH5MN', '0',
'M1TCLMNWLU2B', '0',
'LT2YWU03UHR6', '0',
'9LXR1TWS9I14', 'D',
'BK8D8F0HHZ2V', 'D',
'5A9ZROHJQIQ1', '0',
'QD0LG20BNGRZ', 'B',
'C6JPI91M6Q53', 'D',
'DB1QC4B2J10E', 'D',
'Y610W6YRNDAL', 'D',
'W2X6DY7EM005', '0',
'4MCTDUF5NJVY', 'B',
'IGODNW14D3XN', '0',
'YARQSW367GOF', 'D',
'166502CHNNZ0', 'D',
'CTAOAOKQ8AJI', '0',
'KBRG5JHAJA70', 'D',
'LPOGCR31QS9G', 'D',
'BIA4PJCRW55Y', 'D',
'2P2PU5DFHUCL', '0',
'8O6OLWAESHU0', 'C',
'36EH4N53W4I8', 'D',
'C5K2WIB2WY45', 'D',
'C2VOAHX67YVT', 'D',
'CBD6PA9BDIRW', '0',
'C5EETBOW7XIZ', 'D',
'BYWD2UWDEVTM', 'D',
'02CUUQ99FS5G', '0',
'Y8YF5MEXM0RT', 'D',
'8236ED80XICO', '0',
'2EHACPRV2NT6', 'D',
'062V1AR3RYKX', 'D',
'4GSRBPGOX70T', '0',
'K1BE715PRUXJ', '0',
'XC8NTX6F37G1', '0',
'G4G2RNWCLFSC', 'D',
'UH5PZ1ZZ8GYU', 'D',
'0M87W3425D0B', 'C',
'M76816NJDHEU', '0',
'O12ONP7C5D36', '0',
'5A6ZACPK87PY', '0',
'CT4X047NLVNK', 'D',
'RHNLIEZYU7NK', '0',
'FA7BO1GFF90O', '0',
'U4CC46J5WSF7', '0',
'ZCII5OZ04UCO', '0',
'B7IGWI0YH4MK', '0',
'WQQEXVF3DRTD', 'D',
'0AVVTVEASN4R', '0',
'2GV8MO4BIRU5', '0',
'GEKG1GE01ZXP', '0',
'L9NA03DQH2E3', '0',
'CIBJ1O8NFG6J', '0',
'BM5KDPGW37Y3', '0',
'7TQJUYHF1G5L', '0',
'9GSJF12XMSBD', '0',
'H2U5O5J9HKCK', '0',
'ZAB0VMNBEASJ', 'D',
'4EVZY156BRQW', 'D',
'FAIXOF1YAUEV', 'D',
'YNC1VCTKR9CH', 'D',
'MEUZIUWVS2BG', 'D',
'J8CN6AI22P1Q', 'D',
'EOWJX2GI4NWY', '0',
'86OYJB7OUTAC', '0',
'PUWJ8KZEOKI4', '0',
'52YJKT04APJQ', '0',
'23026I0M3NZ0', 'D',
'LL3WMYBM9QNZ', '0',
'4MT91RZRFD9G', '0',
'2LDYKULCGY1L', 'D',
'V96PVA6STC7A', '0',
'SQ01A978E61S', '0',
'LOC30TEIB918', 'D',
'3HT56HL9PLGR', 'D',
'OSIXP99CB9R5', 'D',
'P3XHXQ6G45MD', 'D',
'AWL9PQXR1A5Y', 'D',
'X7WRFOOUR7PI', 'D',
'YAQNI9OKV0QH', 'D',
'3M2SUO7NKRVJ', '0',
'ZKNWF9K104BI', '0',
'USIK7S9IERA5', '0',
'1QLJTTTCYCTL', 'D',
'QV6NUAWZRRKY', 'D',
'X69IW63MSENO', '0',
'FXRZLW1F6OQ9', '0',
'SUVRGEUITIOL', '0',
'QEPW4GNAVQ8Z', '0',
'DQ584NN1ZD74', '0',
'990BSF3DXAYB', 'D',
'XPYHH096MDCO', '0',
'TF07JQMPFLZE', '0',
'88A0ZO1J3OIO', '0',
'7VY9DJ38RQU2', 'D',
'5JCZERH42X7X', '0',
'S8JXLFL2QZ5J', 'D',
'NGBE464XUFB5', '0',
'ERM5AK59E1IR', 'D',
'XJWIYMT5F8LF', '0',
'S45ORR9IUTEY', 'C',
'8Q9OD90DNOBR', '0',
'GAVUA6OEYJCI', 'D',
'LGI7N7ADKN7F', '0',
'I347JXX7ARZM', '0',
'R6P0FXH3DJ7G', 'D',
'P1CXZGUITDEM', '0',
'OM9SXUANBCSB', '0',
'DJZEGXF2PVGD', '0',
'IQNPXKE3TCNK', 'D',
'D4Z9DVH0A4Z2', 'D',
'TBNLEZC24G2R', 'D',
'VKGHSTYGYNOL', 'D',
'W9SGEBEGVO3T', 'D',
'QO8K6X9YI2NN', '0',
'3JDHHHR27AQ6', '0',
'H5GZ61ZEBIUB', '0',
'7K41426MKMIJ', '0',
'OP4UVO553GAZ', '0',
'IYDSXMCVHMQ3', '0',
'CBFZ3SX4R683', '0',
'XI7HADEHERKN', 'D',
'UJGBSA1CNHZF', '0',
'54EP5X70GHSA', '0',
'WB73LC3Z31GT', '0',
'BEIEVYNW70VV', 'D',
'QVB9X0YNBXVJ', 'D',
'SEGRVTIYWCCB', '0',
'6MZV9PVTXQDH', 'D',
'WHJGLKYCTV7H', '0',
'LTZ07686MEJB', '0',
'ACREGNTDKM2Q', 'D',
'EIZHY5EUGIO9', '0',
'SO3DUFN1GF4L', '0',
'DOIF19WKVCSV', '0',
'EIMMAFV29YND', '0',
'1RJA74V2RYT5', '0',
'TLAE9MOXOYHV', '0',
'HP53KC98Z3EL', '0',
'YV94TFT248Z8', '0',
'4Q2S5O7AJWBM', '0',
'Y984VDG8JET6', '0',
'OOUK01530US9', '0',
'LWTG27S5AT7X', '0',
'MHQ6U3EU01EL', 'D',
'R3334D5KUE54', 'D',
'A7J0I4UI5TWW', 'D',
'S84SESJTJTB1', '0',
'9M7CKL8KBML0', '0',
'GOBIDHNRLJO8', '0',
'T1QQC3XPUNU6', 'D',
'7OKCW1L063BB', '0',
'2IFKLOC987UT', 'D',
'FAF3ZQKUS6EM', '0',
'VEYFBSQZ4Y5N', '0',
'NKVPNI3B60VZ', '0',
'62EVQ3SBPL8U', '0',
'XEY9IBY0IE7P', '0',
'741XV4OYGRAT', '0',
'Y5GJB4TSFV3Y', 'D',
'5MZMQSAZ4KNL', 'D',
'TFWCMHU5COFC', '0',
'O5MS549KQEI7', '0',
'NVXDHQGJ3N82', '0',
'XGTZX3S5R126', '0',
'3JCJBJ4MMCYC', '0',
'UR2OWRV8R1ZV', '0',
'X9IAK5RNK462', '0',
'L1KGRLH46KYS', 'D',
'X2VEWY24TR5S', '0',
'34U95JLVLM5Q', '0',
'AQKTHBPJ9RUW', 'D',
'QQIJAB6W29FM', 'D',
'2D87OQJTG5K8', '0',
'CVZJKJF7U3QS', '0',
'G4YY50ZYZ7MZ', '0',
'LGR1XVOKJ8M7', '0',
'GY9XRX36R2QA', '0',
'MTJAI10RW1VR', 'D',
'Q970C9XC2EHB', '0',
'87ITSOJD5ROU', '0',
'04H29X4324B1', 'D',
'VE4JGBQEH8F5', '0',
'FFYUMY10Z9PH', 'D',
'O543SU2XV0UG', 'D',
'MCR9022BNN7Z', 'D',
'BPU9210MF5FZ', 'D',
'E2PPN39L0JV1', 'D',
'4N76S77W7DUA', '0',
'IXE1LK4BJMJ8', '0',
'6EADZNGNYDY3', '0',
'KR7NU14JRVUN', 'D',
'X3C1GOT8AL7J', '0',
'LIXEHEYLTVHF', '0',
'0DE335HEY7SQ', 'D',
'N0YIQQGQ5G0O', 'D',
'5SM910HNTZBP', 'B',
'UIFWTIJDVZ47', 'D',
'0R2BTHOY5YBU', '0',
'96MEL4XYYITE', '0',
'KAXPYEKI6XAO', '0',
'0F4XFL59RIA4', 'D',
'CHD3015UQIT6', 'D',
'XA8SWP1JA4HM', '0',
'PURYCW7S9EK7', 'D',
'DZA1QWK5FEEK', '0',
'I7DEZU0MJDFY', 'D',
'B830PW8BNAX2', 'C',
'3AWLVNDVG6SP', '0',
'SHDC9HJBAO27', 'D',
'VD71RZLACE82', 'D',
'INTZ4NOZYHCP', '0',
'T9LWWV0M1PNB', '0',
'8ENRVAY1DFLC', 'D',
'3D7KGJGZ46WR', 'D',
'J0XRCVEQN9VY', 'B',
'3GSDW0V4EZNP', '0',
'OE696BJFGKI7', '0',
'KPDO1KXVBYUX', 'D',
'DZC30VJT7MMH', '0',
'DCFT1J4ZNR2W', '0',
'X5M9W0W8NBHV', 'D',
'HGD2PE0ECZBW', '0',
'AP8AMDYYHAAG', 'D',
'D79TP738PPLZ', 'C',
'V8JTMU6GMD79', '0',
'IBZIM0Y4L1JL', '0',
'4A7DJ5DJGTKI', 'C',
'C0JRUCRAXAID', 'D',
'D9KWRN67QWX7', '0',
'IHZ60SQEKTJW', 'D',
'41AB7NYK2IRT', 'D',
'ATGJCG9JYQVE', '0',
'AMZ96ECI7WPN', '0',
'VND8SCQYK8A7', 'D',
'UWQCMW5Q5XGV', 'D',
'W40J472YD4DV', '0',
'X97QARM6BB35', '0',
'OUSWODLLFPQD', '0',
'DHK0Q8BDONYW', '0',
'NPNGRNWOZIOC', '0',
'1L2VAJO6832X', '0',
'FFAGDN348YVP', 'D',
'ILCL78G5HLYC', 'D',
'4WZ42KE15OV9', '0',
'N8FTYFBRBMOR', 'D',
'43J6K3M0G10S', '0',
'NBE70BJHPEDL', 'D',
'399LQSE1PSQD', '0',
'15X1X54K1B18', '0',
'SKMQI0OKSGXM', 'D',
'1KVS6KS4BFW3', '0',
'828H9T2GH86G', 'D',
'V7GCNQD20WBQ', 'D',
'E0H36O59VF8D', '0',
'NOBB0EEJ5MJW', 'D',
'UYJJJ55RZRAP', '0',
'BRK6J1XLK57S', 'D',
'R7TW1785FKLD', '0',
'UXNSA8F1Y6FQ', '0',
'8RXKQL7IIUYH', 'D',
'CQQ8DSL0URKL', '0',
'DU5NBPVDVJFN', '0',
'XPZQK6Z7ASNB', '0',
'NMYIRLQFKJ73', 'D',
'RKL1F2NMIC49', 'D',
'ZXH6OXAGI2UK', '0',
'AN2J476LNB1M', '0',
'Q23KD4TYHUS2', 'D',
'8MG4M66PKRZC', '0',
'3EMEL0701XM2', 'D',
'8BT8DXSZHHOT', 'D',
'ZXUB1D3JZMT8', 'D',
'QYW5CLV9YY2A', 'D',
'PEZ6QUISGP8I', 'D',
'41Q1D71PM4LC', 'D',
'SPTDPSR58WS6', '0',
'PIKCDBKLW1A3', 'C',
'Y7TO97WVYMSU', '0',
'5VYSW3LHIOKI', '0',
'O9CJHA9AJGSC', '0',
'5ENQPEGSRZ0F', '0',
'L6R67I9R1DXE', 'D',
'HZXWUGWXJVSH', '0',
'YUR4I7F60FKQ', '0',
'TE8WXOM74EP4', '0',
'Z833PRFNC3EC', '0',
'R5RCFEM74S0A', 'C',
'YTD2SA80SMXS', '0',
'XM729S6E42KW', '0',
'MTMPS8PA44BB', '0',
'WEBOOZMAHEQO', '0',
'57OF5DT27OP1', 'D',
'OPX17L166U1F', '0',
'WN8VUN6GQSPC', '0',
'XYXB9OC0BCCO', '0',
'MHTJ0N22SLY0', '0',
'YL1VB33B1Q3I', 'D',
'SWV9YTG2ORFN', 'D',
'4KA10XI5VXXP', '0',
'F8S6MRUPWFG9', '0',
'S9ESC8U6L5AE', 'D',
'NK0YIZDM8T6B', 'D',
'97B84YTU3K6Q', '0',
'Z9FIQJSZQ9GO', 'D',
'ED0IRAGO58Z9', '0',
'YACTNK2TF85O', '0',
'B20OYEO4OBKQ', 'D',
'UQJTMR1H0BCE', '0',
'2JTLD8I2AWZN', '0',
'HKIFTMVR0VE7', '0',
'P04EZ8WNGLXQ', 'D',
'3WG7MFTVJROT', 'D',
'I9K88T3Y891E', 'D',
'IQE91DI6B417', '0',
'XJVDIURYQPDR', 'D',
'JXK75PUP3MPQ', 'D',
'PIKGMIJGCFHN', '0',
'4VNPJ914Y0E3', '0',
'YLO4V9Q13MXQ', 'B',
'FJMPD0X4QEGU', '0',
'LDYJ6YCJIQ0T', '0',
'38IY32R27RDX', '0',
'XHWKIJUWUFPW', '0',
'UV2QNJSSQ3F0', '0',
'Z4GRRIHTDUJL', '0',
'F3OAPFAWBM5G', '0',
'GZT7L1OTPUW6', 'D',
'4U5EETQG1RJT', '0',
'MEM7U2LJ3BL9', 'D',
'U3NAS3Z68C3V', '0',
'I6XUP5VMGZ7Q', '0',
'1G0QHOZRMYXQ', '0',
'A55OA48R1D0O', 'D',
'52ZQREXZYFBW', '0',
'0PNS8N7BKSUD', '0',
'IG7N3BXLO2R9', '0',
'VP9TQQX6AOVU', 'D',
'DNNE2B7SLSJU', '0',
'Z0RXBGVBRGRD', 'D',
'OHZGADTX2OWU', '0',
'S7TQGBQUC10L', '0',
'UQ048ELTWQVI', '0',
'IO6UZF3DRQ8H', '0',
'L4OWLEXKY7OS', 'D',
'METXZCL7ENOT', '0',
'JV4VEAWWF0MQ', 'D',
'PE3HF6IAUEKV', '0',
'FVJFPG4YK67I', 'D',
'FSE0HATAK4K3', '0',
'7A1LVIC9PIOB', '0',
